English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
difference,n,"otherness, unlikeness","dealing, shedding, sunderness,\nundershed (cf. NHG Unterschied/ Du. onderscheiden)\ndiversity: fayness (<OE fægnys)",dealing, shedding, sunderness,\nundershed ,cf. NHG Unterschied/ Du. onderscheiden)\ndiversity: fayness ,<OE fægnys),,,,,,,,,,,,,,,,,,,,
different,adv,"other, otherwise","sunderly, sheddedly",sunderly, sheddedly,,,,,,,,,,,,,,,,,,,,,,,,
differentiation (mathematics),n,-,beshedding,beshedding,,,,,,,,,,,,,,,,,,,,,,,,,
differently,adv,"otherwise, sunderly",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
difficult,adj,"pick-and-shovel, uphill, hard","sweer (Eng., OE swær, cf. NHG. Schwer, Du zwaar) grinding",sweer ,Eng., OE swær, cf. NHG. Schwer, Du zwaar) grinding,,,,,,,,,,,,,,,,,,,,,
difficulty,n,"hardship, struggle, toil",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
diffident,adj,withdrawn,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
digit,n,"finger, toe",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
digital,adj,scorely,bitly,bitly,,,,,,,,,,,,,,,,,,,,,,,,,
dignity,n,"worth, selfworth","wirthe (<OE wirþu, cf. NHG Würde)",wirthe ,<OE wirþu, cf. NHG Würde),,,,,,,,,,,,,,,,,,,,,,,
digraph,n,-,twiwrit (calque),twiwrit ,calque),,,,,,,,,,,,,,,,,,,,,,,,
digress,n,-,umsweep (<OE ymbswæpe),umsweep ,<OE ymbswæpe),,,,,,,,,,,,,,,,,,,,,,,,
dilapidated,adj,"threadbare, timeworn",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dilate,vb,-,abreethe (<OE abreoþan),abreethe ,<OE abreoþan),,,,,,,,,,,,,,,,,,,,,,,,
diligent,adj,"tied-up, working","(k)nerd/(k)nard (<OE cneord), heedfast",k)nerd/,k)nard ,<OE cneord), heedfast,,,,,,,,,,,,,,,,,,,,,,
dimension,n,-,"mealwidth (<Ic. mælivídd), meting (calque), lengthenness, lengthening (calque of Fin. ulottuvuus)",mealwidth ,<Ic. mælivídd), meting ,calque), lengthenness, lengthening ,calque of Fin. ulottuvuus),,,,,,,,,,,,,,,,,,,
diminish,vb,"lessen, lower, wane, dwindle, dwine",fordwine,fordwine,,,,,,,,,,,,,,,,,,,,,,,,,
diminutive,adj,"tiny, impish, small, little",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dimorphism,n,-,twoshapenness,twoshapenness,,,,,,,,,,,,,,,,,,,,,,,,,
diningroom,n,-,buttern (<OE beotern 'table-room'),buttern ,<OE beotern 'table-room'),,,,,,,,,,,,,,,,,,,,,,,,
dinner,n,"evening meal, mese (obsolete) fr. OE: (table, that which is set on a table, dish, food, meal)","eveneats (cf. D. avondeten, NHG Avondessen), rearding (OE reord 'to feast'), evenmeal",eveneats ,cf. D. avondeten, NHG Avondessen), rearding ,OE reord 'to feast'), evenmeal,,,,,,,,,,,,,,,,,,,,
dinosaur,n,-,"dreadask (calque from Greek), dreadwight, bulkwight, forebird",dreadask ,calque from Greek), dreadwight, bulkwight, forebird,,,,,,,,,,,,,,,,,,,,,
diocese,n,-,bedereve shire,bedereve shire,,,,,,,,,,,,,,,,,,,,,,,,,
diphthong,n,-,twithedin (calque),twithedin ,calque),,,,,,,,,,,,,,,,,,,,,,,,
diploma,n,-,douth writ,douth writ,,,,,,,,,,,,,,,,,,,,,,,,,
direct,vb,"lead, steer, beward, beright, right",wees (<OE wisian),wees ,<OE wisian),,,,,,,,,,,,,,,,,,,,,,,,
direction,n,"heading, wending, warding",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
directory,n,-,threadlist,threadlist,,,,,,,,,,,,,,,,,,,,,,,,,
dis-,prefix,"mis-, un-",and- (<OE; cf. NHG ent-...),and- ,<OE; cf. NHG ent-...),,,,,,,,,,,,,,,,,,,,,,,,
disable,vb,"cripple, lame; hamstring",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disabled,adj,"lame, halt",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disadvantage,n,"afterdeal, drawback, downside",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disadvantaged,adj,hindered,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disappear,vb,"flee, melt, sink","fordwine, forswind (<OHG farswindan; cf. NHG verschwinden)",fordwine, forswind ,<OHG farswindan; cf. NHG verschwinden),,,,,,,,,,,,,,,,,,,,,,,
disappoint,vb,let down,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disarm,vb,-,andweapon,andweapon,,,,,,,,,,,,,,,,,,,,,,,,,
disarrange,vb,"rumple, tousle",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disaster,n,"shipwreck, fizzle, washout","ill-hap, grimming, harrow-hap",ill-hap, grimming, harrow-hap,,,,,,,,,,,,,,,,,,,,,,,
disastrous,adj,"baneful, deadly, dreadful, black, hapless, harmful, doomfull, wrackful",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
discard,vb,"get rid of, deep-six,","awayen\nforthrow (Eng., cf. NHG verwerfen)",awayen\nforthrow ,Eng., cf. NHG verwerfen),,,,,,,,,,,,,,,,,,,,,,,
discharge,n/vb,unload,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disciple,n,-,loreknight (<OE larcniht),loreknight ,<OE larcniht),,,,,,,,,,,,,,,,,,,,,,,,
discipline,n/vb,"?school, field;  rear up, upbraid",thewfastness,thewfastness,,,,,,,,,,,,,,,,,,,,,,,,,
disclaim,vb,"foreswear, forego","mishold, unhold",mishold, unhold,,,,,,,,,,,,,,,,,,,,,,,,
disclaimer,n,"forsaker, yielder",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disclose,vb,"bare, show, tell",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disconcerting,adj,"offputting, upsetting",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
discontinue,vb,"cut, end",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
discount,n,-,falloff (cf. Ic. af-fall),falloff ,cf. Ic. af-fall),,,,,,,,,,,,,,,,,,,,,,,,
discourse,vb,"talk, speak, mouth out",wordle,wordle,,,,,,,,,,,,,,,,,,,,,,,,,
discover,vb/phr,"find out, get on, hear, learn, wise up; dig out, dredge up, hit on, nose out, root out; bare, unbosom, unfold","onfind, unthatch/unthack, unmesh\nBefind (cf. NHG befinded, Du. bevinded, Swed/S. Fris.) , undeck",onfind, unthatch/unthack, unmesh\nBefind ,cf. NHG befinded, Du. bevinded, Swed/S. Fris.) , undeck,,,,,,,,,,,,,,,,,,,
discovery,n,"finding, unearthing","befinding, onfinding, undecking",befinding, onfinding, undecking,,,,,,,,,,,,,,,,,,,,,,,
discredit,vb,smirch,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
discriminate,n,treat unfairly,beshed (<OE bescéadan),beshed ,<OE bescéadan),,,,,,,,,,,,,,,,,,,,,,,,
discuss,vb,"talk about, talk over, talk through",wordwrestle,wordwrestle,,,,,,,,,,,,,,,,,,,,,,,,,
disease,n,"addle, cothe, sickness, illness, wanhaleness",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
"disease, skin",n,tetter,skinaddle,skinaddle,,,,,,,,,,,,,,,,,,,,,,,,,
disfigure,vb,"mar, misshape",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disgrace(ful),n/vb,"shame, shend",shandful (<OE scandful),shandful ,<OE scandful),,,,,,,,,,,,,,,,,,,,,,,,
disgusting,adj,"loathely, wlatsome, foul, pukening, gruesome, ghastly, rank, icky,",Witherly (NHG. Widerlich)\nWitherward (NHG. Widerwärtig),Witherly ,NHG. Widerlich)\nWitherward ,NHG. Widerwärtig),,,,,,,,,,,,,,,,,,,,,,,
dishevelled,adj,"cluttered, tousled, untidy",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dishonourable,adj,-,"arless, heanful, heanlike (OE heanlic)",arless, heanful, heanlike ,OE heanlic),,,,,,,,,,,,,,,,,,,,,,
disinclined,adj,loath,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disinfect,vb,-,unsmittle,unsmittle,,,,,,,,,,,,,,,,,,,,,,,,,
disinfectant,n,-,unsmittler,unsmittler,,,,,,,,,,,,,,,,,,,,,,,,,
disk,n,-,"flat, trind",flat, trind,,,,,,,,,,,,,,,,,,,,,,,,
dislike,vb,mislike,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dislocate,vb,-,unstead,unstead,,,,,,,,,,,,,,,,,,,,,,,,,
dismember,vb,-,"alithe, unlimb",alithe, unlimb,,,,,,,,,,,,,,,,,,,,,,,,
dismiss,vb,"snub, slight, sack, fire",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disobedience,n,-,overhearness (<OE oferhirness),overhearness ,<OE oferhirness),,,,,,,,,,,,,,,,,,,,,,,,
disobedient,adj,"unhold, unhearsome, hardheaded, stubborn, wayward",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disordered,adj,"unsided, throughanother",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dispatch,vb,"send off, forthsend",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disperse,vb,"scatter, spread, strew","todrive, tofare",todrive, tofare,,,,,,,,,,,,,,,,,,,,,,,,
displace,vb,uproot,unord,unord,,,,,,,,,,,,,,,,,,,,,,,,,
display,n/vb,"fair, show; lay out, show off, strut, forthset",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
displease,vb,-,misqueme (<OE miscwéman),misqueme ,<OE miscwéman),,,,,,,,,,,,,,,,,,,,,,,,
disposable,adj,throwaway,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disposal,n,"deep-six, junking, throwing away",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disprove,vb,belie,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dispute,vb,"bicker, brawl, tiff, wrangle",flit (OE),flit ,OE),,,,,,,,,,,,,,,,,,,,,,,,
disqualify,vb,unfit,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disregard,vb,"overlook, forheed",overgum (<OE ofergumian),overgum ,<OE ofergumian),,,,,,,,,,,,,,,,,,,,,,,,
disrupt,vb,"upset, unsettle, break, break up, sunder, split, shatter, tear, rip, rattle, muddle",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dissect,vb,"sithe, cut up",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dissemble,vb,"bluff, sham, put on; let on, make out",aswike,aswike,,,,,,,,,,,,,,,,,,,,,,,,,
dissolution,n,"breakup, split, sundering",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dissonance,n,infighting,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
distance,n,"lead, length, spread, stretch, way; breadth, field; unlikeness, otherness, farness",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
distant,adj,"away, deep, far, far away far-flung, far-off; cold-eyed, dry, offish, standoff; other, unalike, unlike","farlen, offward (OE)",farlen, offward ,OE),,,,,,,,,,,,,,,,,,,,,,,
distill,vb,"drop, trickle, strengthen,",forsteaming,forsteaming,,,,,,,,,,,,,,,,,,,,,,,,,
distinct,adj,"marked, sundered",undershed (calque of many Ger. speeches).,undershed ,calque of many Ger. speeches).,,,,,,,,,,,,,,,,,,,,,,,,
distinguish,vb,make-out,"undershed (calque of Ger. speech. NHG Unterschieden, Du. onderscheiden)",undershed ,calque of Ger. speech. NHG Unterschieden, Du. onderscheiden),,,,,,,,,,,,,,,,,,,,,,,
distort,vb,"twist, throw, warp",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
distract,vb,"throw off, draw off, pull away, bewilder, mislead","heed off, mind off",heed off, mind off,,,,,,,,,,,,,,,,,,,,,,,,
distraught,adj,worked up,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
distress,vb/n,"bother, upset, worryn: woe, harm's way",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
distress signal,n,-,woecall,woecall,,,,,,,,,,,,,,,,,,,,,,,,,
distribute,vb,"deal out, hand out, mete out, spread, spread out",breat/bret/brut/brit (<OE bryttian),breat/bret/brut/brit ,<OE bryttian),,,,,,,,,,,,,,,,,,,,,,,,
distribution,n,"dealing, setup, spread",brittening (<OE bryttian),brittening ,<OE bryttian),,,,,,,,,,,,,,,,,,,,,,,,
district,n,neighbourhood,"shire, riding, leet, -wick, wike, stretch",shire, riding, leet, -wick, wike, stretch,,,,,,,,,,,,,,,,,,,,
distrust,vb,"forthink, mistrust",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
disturb,vb,"stir, muddle, unsettle","dreve (<OE dréfan) , sturian (<OE styrian), bestir",dreve ,<OE dréfan) , sturian ,<OE styrian), bestir,,,,,,,,,,,,,,,,,,,,,
disturbance,n,"stir; teasing, harrying, bothering, unsettling","dreving , bestirance",dreving , bestirance,,,,,,,,,,,,,,,,,,,,,,,,
disturbing,adj,"creepy, startling, frightening, unsettling, upsetting, stirring, scary",- bestiring,- bestiring,,,,,,,,,,,,,,,,,,,,,,,,,
diurnal,adj,daily,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
diverse,adj,"manifold, sundry, manikind",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
divert,n,-,off-lead,off-lead,,,,,,,,,,,,,,,,,,,,,,,,,
divide,vb,"cleave, shed, split, sunder, share, of-mete, deal",to-tweam (<OE to-twaémen),to-tweam ,<OE to-twaémen),,,,,,,,,,,,,,,,,,,,,,,,
divination,n,foretelling,wile (<OE wigle),wile ,<OE wigle),,,,,,,,,,,,,,,,,,,,,,,,
divine,adj,"godly, holy",wily,wily,,,,,,,,,,,,,,,,,,,,,,,,,
divinity,n,holiness,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
division,n,"cleaving, splitting, tweeming, shedding, sundering",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
divorce,n,-,wedbreach,wedbreach,,,,,,,,,,,,,,,,,,,,,,,,,
DNA,n,twisted ladder,UKS (unbreathrikernelish sour),UKS ,unbreathrikernelish sour),,,,,,,,,,,,,,,,,,,,,,,,
docile,adj,meek; law-abiding,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
"doctor, medical",n,healer,"learer (<ME lerare <OE lārēow) leech, healand",learer ,<ME lerare <OE lārēow) leech, healand,,,,,,,,,,,,,,,,,,,,,,,
doctrine,n,-,lorespell (<EME),lorespell ,<EME),,,,,,,,,,,,,,,,,,,,,,,,
document,n,-,leafwrit,leafwrit,,,,,,,,,,,,,,,,,,,,,,,,,
documentary,n,broadcast,"leafwritfilm, logfilm, truthfilm",leafwritfilm, logfilm, truthfilm,,,,,,,,,,,,,,,,,,,,,,,
dogma,n,-,ground lief,ground lief,,,,,,,,,,,,,,,,,,,,,,,,,
dolphin,n,mereswine,tumbler (cf. NHG Tümmler),tumbler ,cf. NHG Tümmler),,,,,,,,,,,,,,,,,,,,,,,,
domain,n,-,lorddom,lorddom,,,,,,,,,,,,,,,,,,,,,,,,,
dome,n,-,cupple (calque of Italian cupola) (cup + -le diminutive),cupple ,calque of Italian cupola) ,cup + -le diminutive),,,,,,,,,,,,,,,,,,,,,,,
domestic,adj,homeland (politics); household; tamed; born,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
domesticate,vb,tame,houserede,houserede,,,,,,,,,,,,,,,,,,,,,,,,,
domicile,n,grith,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
dominate,vb,"lord over, bestride","rike (<OE), hire (calque)",rike ,<OE), hire ,calque),,,,,,,,,,,,,,,,,,,,,,
donate,vb,"bestow, give, overgive, yield",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
donation,n,"gift, yeld",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
doppelgänger,n,"look-alike, evil look-alike, ill-boding look-alike","Walking-dead, death-ghost; twinish-unknowns.",Walking-dead, death-ghost; twinish-unknowns.,,,,,,,,,,,,,,,,,,,,,,,,
dormant,adj,"sleeping, drowsing",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dormitory,n,bedroom,"sleepstow, sleepearn (<OE slæpærn)",sleepstow, sleepearn ,<OE slæpærn),,,,,,,,,,,,,,,,,,,,,,,
dorsal,adj,back,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dosage,n,muchness,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
double,vb/n/adj,"twin, twofold, twosome, two times",vb: \ntwifold (<OE twifealdian),vb: \ntwifold ,<OE twifealdian),,,,,,,,,,,,,,,,,,,,,,,,
doubt,n/vb,"qualm, niggle, wonder;\ntwimindedness, lack belief (in), misbelieve, mistrust",ink (<OE inca; ME inke)\ntwimind,ink ,<OE inca; ME inke)\ntwimind,,,,,,,,,,,,,,,,,,,,,,,,
doubtful,n,twiminded,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
douse,vb,drench,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dozen,n,tens,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
draconian,adj,-,"harsh, rough",harsh, rough,,,,,,,,,,,,,,,,,,,,,,,,
dragon,n,"lindworm, wyrm",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dragonfly,n,-,leanfly,leanfly,,,,,,,,,,,,,,,,,,,,,,,,,
drainage basin,n,watershed,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dramatic,adj,"hammy; showy, splashy",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dramatist,n,playwright,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dress,vb,"clothe, don",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dromadary,n,-,drylander,drylander,,,,,,,,,,,,,,,,,,,,,,,,,
drug,n,lib,"rushmiddle, rushmean (cf. NHG Rauschmittel), rushgift (cf. NHG Rauschgift)",rushmiddle, rushmean ,cf. NHG Rauschmittel), rushgift ,cf. NHG Rauschgift),,,,,,,,,,,,,,,,,,,,,
drupe,n,-,stoneberry,stoneberry,,,,,,,,,,,,,,,,,,,,,,,,,
dual,adj,"twin, twofold",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dub,vb,"name, call",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dubious,adj,"dodgy, shady, shaky; loath; far-fetched, unlikely; hinky, mistrustful, unsettled",frainworth(y)\nbethinkly (cf. NHG bedenklich) see bethink,frainworth,y)\nbethinkly ,cf. NHG bedenklich) see bethink,,,,,,,,,,,,,,,,,,,,,,,
duchy,n,earldom,Heretogdom,Heretogdom,,,,,,,,,,,,,,,,,,,,,,,,,
due,adj,"owing, thanks",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
duel,n,ballgame,wyefare,wyefare,,,,,,,,,,,,,,,,,,,,,,,,,
duet,n,-,twising,twising,,,,,,,,,,,,,,,,,,,,,,,,,
dugong,n,-,seacow,seacow,,,,,,,,,,,,,,,,,,,,,,,,,
duke,n,earl,"alderman (<OE ealdorman), hertow (<OE heretoga)",alderman ,<OE ealdorman), hertow ,<OE heretoga),,,,,,,,,,,,,,,,,,,,,,
dunce,n,mouthbreather,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dune,n,-,sandhill,sandhill,,,,,,,,,,,,,,,,,,,,,,,,,
duplication,n,twofoldness,twiness,twiness,,,,,,,,,,,,,,,,,,,,,,,,,
during,prep,throughout,bewhile,bewhile,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch(man),adj,-,"Lowland(er), Netherland(er)ish",Lowland,er), Netherland,er)ish,,,,,,,,,,,,,,,,,,,,,,
duvet,n,"bedspread, eiderdown",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dynamic,n,"snell, flush, lusty, red-blooded","speedfast, beweighful",speedfast, beweighful,,,,,,,,,,,,,,,,,,,,,,,,
dynasty,n,-,erverike,erverike,,,,,,,,,,,,,,,,,,,,,,,,,
dysentery,n,-,reddrif (<OE drif: fever),reddrif ,<OE drif: fever),,,,,,,,,,,,,,,,,,,,,,,,
dysfunctional,adj,"unworking, badworking",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
dyslexic,n,word-blindness,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
eager,adj,"keen, hungry, yearnsome",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
earphone(s),n,"headset, earspeaker(s)","earset, earswan",earset, earswan,,,,,,,,,,,,,,,,,,,,,,,,
ease,vb,"allay (alay), unburden, unlade, smoothen, sooth, quell",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
easy,adj,"smooth, downhill, hands-down, light, not hard, eath, eathy, struggleless, unburdensome, unwearisome",onefold,onefold,,,,,,,,,,,,,,,,,,,,,,,,,
eau de toilette,n,-,"duft, cride water",duft, cride water,,,,,,,,,,,,,,,,,,,,,,,,
ebony,adj/n,blackwood,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ebullition,n,"outburst, flare-up, blowup, frothing",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
eccentric,n,odd,"sunderling (cf. Du. zonderling, NHG Sonderling)",sunderling ,cf. Du. zonderling, NHG Sonderling),,,,,,,,,,,,,,,,,,,,,,,
ecclesiastical,adj,"churchly, church",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
echo,n,-,"witherclank, backwave, witherwave, woodmare, windmare (<OE wudu-mær, windu-mær)lesser saying/doing again: wannabe, shadowverb: send back, wave back",witherclank, backwave, witherwave, woodmare, windmare ,<OE wudu-mær, windu-mær)lesser saying/doing again: wannabe, shadowverb: send back, wave back,,,,,,,,,,,,,,,,,
eclipse,vb/n,"hide, darken,outshine (does not mean “eclipse!”)","overshadowing, forshadowing, fullhiding",overshadowing, forshadowing, fullhiding,,,,,,,,,,,,,,,,,,,,,,,
economics,n,"trade, dealing, husbandry, stewardship","wealthlore, houselore/householdlore (partial cf. Greek), housekeeping, goldlore",wealthlore, houselore/householdlore ,partial cf. Greek), housekeeping, goldlore,,,,,,,,,,,,,,,,,,,,,
economy,n,"wealthdom, stewardship; thrift, cutback",householding (cf. Du. huishouding); shophouse\nof a nation: landwealth,householding ,cf. Du. huishouding); shophouse\nof a nation: landwealth,,,,,,,,,,,,,,,,,,,,,,,,
ecosystem,n,living earth,"lifeweb, lifeworld",lifeweb, lifeworld,,,,,,,,,,,,,,,,,,,,,,,,
ecstatic,adj,"athrill, upbeat, beside oneself, blissful",overthrilled,overthrilled,,,,,,,,,,,,,,,,,,,,,,,,,
ectoplasm,n,-,"evilslime, evilscum, witch’s slime/mud, nicorslime, nitheslime",evilslime, evilscum, witch’s slime/mud, nicorslime, nitheslime,,,,,,,,,,,,,,,,,,,,,
ecumenopolis,n,-,"worldborough, all-shire",worldborough, all-shire,,,,,,,,,,,,,,,,,,,,,,,,
edda,n,"hoard, book, lore; greatmother","weth (<OE woþ), lorebook",weth ,<OE woþ), lorebook,,,,,,,,,,,,,,,,,,,,,,,
edelweiss,n,silver star,athelwhite,athelwhite,,,,,,,,,,,,,,,,,,,,,,,,,
edible,adj,"eating, fit to eat, well eaten, “good eats”","eatsome, eatskilled, eatworthy",eatsome, eatskilled, eatworthy,,,,,,,,,,,,,,,,,,,,,,,
edifice,n,"building, house",outwork (<OE geweorc),outwork ,<OE geweorc),,,,,,,,,,,,,,,,,,,,,,,,
edify,vb,"build up, bulwark, bolster",intimber (<OE intimbrian),intimber ,<OE intimbrian),,,,,,,,,,,,,,,,,,,,,,,,
edifying,adj,"teaching, uplifting, mindworthy, bolstering",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
edit,vb,"comb, rake, comb through, rake through, work over","bework (cf. Du. bewerken), by-draft, write, work through, wend",bework ,cf. Du. bewerken), by-draft, write, work through, wend,,,,,,,,,,,,,,,,,,,,
edition,n,"combing, raking, utttering (“publication,” OED), output","outlayingissue: begivingpublication: foropening (cf. NHG veröffenlichung), forlaying (cf. NHG verlegen)",outlayingissue: begivingpublication: foropening ,cf. NHG veröffenlichung), forlaying ,cf. NHG verlegen),,,,,,,,,,,,,,,,,,,,,,
educate,vb,"teach, lere (<OE læran, cf. Du. leren, NHG lehren; in OED but obsolete, alt. spelling lear, Scottish leir/leyr); learn (dialectal, stigmatized)","atee, tee (<OE ateon; cf. NHG erziehen), belearn",atee, tee ,<OE ateon; cf. NHG erziehen), belearn,,,,,,,,,,,,,,,,,,,,,,
educated,adj,"learned, well read, well taught",bewised,bewised,,,,,,,,,,,,,,,,,,,,,,,,,
education,n,"learning, teaching, book-learning","lorecraft, lore, bewising, upbuilding, bilthing (cf. NHG Bildung)",lorecraft, lore, bewising, upbuilding, bilthing ,cf. NHG Bildung),,,,,,,,,,,,,,,,,,,,
educator,n,"teacher, loreman, lore keeper, upbuilder","teer (cf. NHG Erzieher), lorer",teer ,cf. NHG Erzieher), lorer,,,,,,,,,,,,,,,,,,,,,,,
educe,vb,"outbring, outdraw, draw out, bring out, hand down the lore",bespell,bespell,,,,,,,,,,,,,,,,,,,,,,,,,
-ee,suffix,"-end, -ling, -ed",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
effect,n,"aftermath, backwash, outcome, fallout, upshot; mark, sway",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
effective,adj,"handy, good, winning",overtful,overtful,,,,,,,,,,,,,,,,,,,,,,,,,
effectuate,v,"bring about, win out",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
effeminate,adj,"womanlike, womanly, unmanly, weak; bottom (vulgar)","she-like, underlyer",she-like, underlyer,,,,,,,,,,,,,,,,,,,,,,,,
effervescent,adv,"fizzy, bubbling, bubbly, lively, frothing,",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
efficacious,adj,"handy, working, winning",winful,winful,,,,,,,,,,,,,,,,,,,,,,,,,
efficacy,n,handiness,winfulness,winfulness,,,,,,,,,,,,,,,,,,,,,,,,,
effort,n,"swink, sweat, while, work","onstrength, onstronging (cf. NHG Anstrengung, Du. inspanning, Sw. ansträngning, and others), elbow fat",onstrength, onstronging ,cf. NHG Anstrengung, Du. inspanning, Sw. ansträngning, and others), elbow fat,,,,,,,,,,,,,,,,,,,
effrontery,n,"shamelessness, brazenness",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
e.g.,abbr.,-,"f.b., 'for busen' or 'for byspel' (cf. NHG z.B., zum Beispiel)",f.b., 'for busen' or 'for byspel' ,cf. NHG z.B., zum Beispiel),,,,,,,,,,,,,,,,,,,,,,
egalitarianism,n,-,"evenhood, flackhood, evennessdom; flattening, crushing; belief in sameness; hatred",evenhood, flackhood, evennessdom; flattening, crushing; belief in sameness; hatred,,,,,,,,,,,,,,,,,,,,,,
egg (<ON),n,ey (pl. eyren),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ego,n,"bighead, pride, stuffed shirt\npsychology: self, I (cf. Greek))",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
egocentric,adj,"selfish, self-bemiddled, stuffed shirt",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
egoïsm,n,"selfishness, self-worship, shirt-stuffing",self-mindedness,self-mindedness,,,,,,,,,,,,,,,,,,,,,,,,,
egotistic,adj,"bigheaded, overweening, proud, stuck-uop, boastful, self-worshiping",self-minded,self-minded,,,,,,,,,,,,,,,,,,,,,,,,,
egregious,adj,"gross, striking",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
egressive,adj,"outflowing; crapped out, crappy; leaking, dripping; leaching",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
