English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
absolute,adj,"outright, utter, full, rank, checkless (Barnes)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
absolutely,adv,"fully, wholly, dead",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
absolve,vb,forgive,offloosen (Barnes),offloosen ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
absorb,vb,"drink, soak up, suck up, take up; grip; burn, drain, draw down, play out","bedrink (<OE bedrincan)up-soak, forsoak (Barnes)",bedrink ,<OE bedrincan)up-soak, forsoak ,Barnes),,,,,,,,,,,,,,,,,,,,,,
abstain (from),vb,"forbear (Barnes), foregowithhold, hold back\nswear off",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abstinence,n,-,"forbearing, forhaveness (<OE forhæfnes)",forbearing, forhaveness ,<OE forhæfnes),,,,,,,,,,,,,,,,,,,,,,,
abstract,n,"withdrawal, outline","outpulling, outdraught, offdrawal (abstraction)",outpulling, outdraught, offdrawal ,abstraction),,,,,,,,,,,,,,,,,,,,,,
abundance,n,"wealth, lot",fullsomeness (<OE),fullsomeness ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
abundant,adj,"teeming, swarming, overflowing, fulsome, rife, fat, thick, awash",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
abuse,vb,"scathe, mishandle","hean (<OE hienan), smittle, misbrook",hean ,<OE hienan), smittle, misbrook,,,,,,,,,,,,,,,,,,,,,,
abysmal,adj,"1. hellish, hopeless, dreadful2. fathomless, bottomless","netherly, unfathomly",netherly, unfathomly,,,,,,,,,,,,,,,,,,,,,,,,
abyss,n,"1. hell2. depth, ground, deep, pit, netherworld","newel (<OE neowol)\noffground (cf. NGH. Abgrund, Du. Afgrond)",newel ,<OE neowol)\noffground ,cf. NGH. Abgrund, Du. Afgrond),,,,,,,,,,,,,,,,,,,,,,
acacia,n,"thorn tree, whistling thorn, wattle","thornbloom, hookthorn",thornbloom, hookthorn,,,,,,,,,,,,,,,,,,,,,,,,
academia,n,-,"learnedom, loredom, frod (<OE)",learnedom, loredom, frod ,<OE),,,,,,,,,,,,,,,,,,,,,,
academic or academik,n/adj,"highbrow, book-learned","moot, booksome, lorewise, mighty-brainedn: loreman",moot, booksome, lorewise, mighty-brainedn: loreman,,,,,,,,,,,,,,,,,,,,,,
accede,vb,-,agree: thware (<OE),agree: thware ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
accelerate,vb,"speed up, spur, quicken (Barnes)","yare, swiften",yare, swiften,,,,,,,,,,,,,,,,,,,,,,,,
acceleration,n,speeding up,yareness,yareness,,,,,,,,,,,,,,,,,,,,,,,,,
accent,n,"twang, drawl","tungfall (cf. Du. tongval ), word-strain (Barnes)",tungfall ,cf. Du. tongval ), word-strain ,Barnes),,,,,,,,,,,,,,,,,,,,,,
accept,vb,"swallow, trust; bear, shoulder; intake (Barnes)","thave, thware (<OE þwarian 'to bring into agreement, make harmonious')\nontake, onfang (<OE onfon)",thave, thware ,<OE þwarian 'to bring into agreement, make harmonious')\nontake, onfang ,<OE onfon),,,,,,,,,,,,,,,,,,,,
acceptable,adj,"all right, fair, good","thwaringly, thewsome",thwaringly, thewsome,,,,,,,,,,,,,,,,,,,,,,,,
access,n,"doorway, gateway, key","infare, ingoing",infare, ingoing,,,,,,,,,,,,,,,,,,,,,,,,
accessible,adj,at hand,"yea-fare, thuringly",yea-fare, thuringly,,,,,,,,,,,,,,,,,,,,,,,,
accessory,n,-,"bykeeper, deedmate (Barnes)",bykeeper, deedmate ,Barnes),,,,,,,,,,,,,,,,,,,,,,,
accident,n,"mishap; hap, luck, befall","unfall (cf. NHG unfall) , hapliness (Barnes)",unfall ,cf. NHG unfall) , hapliness ,Barnes),,,,,,,,,,,,,,,,,,,,,,
accidental,adj,unwitting,"fallenly, happensome (Barnes)",fallenly, happensome ,Barnes),,,,,,,,,,,,,,,,,,,,,,,
accompany,vb,"go with, follow","beglide (cf. Du. begeleiden, NHG begleiten), samodsithe (<OE samodsīðian)",beglide ,cf. Du. begeleiden, NHG begleiten), samodsithe ,<OE samodsīðian),,,,,,,,,,,,,,,,,,,,,
accomplish,vb phr,"fulfill, sow up, bring about, reach",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
accord,n,"deal, meeting of minds","thaving, thwaring",thaving, thwaring,,,,,,,,,,,,,,,,,,,,,,,,
accordion,n,-,bellowharp,bellowharp,,,,,,,,,,,,,,,,,,,,,,,,,
according to,adj,"as of, by, true to\nquoth","nigh (cf. NHG nach), after, following (calque)",nigh ,cf. NHG nach), after, following ,calque),,,,,,,,,,,,,,,,,,,,,
account,n,"ledger, reckoning","reckoning (cf. Du. rekening, Fr. rekken)",reckoning ,cf. Du. rekening, Fr. rekken),,,,,,,,,,,,,,,,,,,,,,,
account of,vb,witness (give),forof (on),forof ,on),,,,,,,,,,,,,,,,,,,,,,,,
accountant,n,-,"teller (cf. Du. tal, NHG Zahle 'number')",teller ,cf. Du. tal, NHG Zahle 'number'),,,,,,,,,,,,,,,,,,,,,,,
accumulate,vb,"heap, upheap, build up, gather up",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
accumulation,vb,unheaping,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
accurate,adj,"right on, spot-on","swotel (<OE sweotol)\nnarrowcore (calque of Du. nauwkeurig, narrow - core 'choice')",swotel ,<OE sweotol)\nnarrowcore ,calque of Du. nauwkeurig, narrow - core 'choice'),,,,,,,,,,,,,,,,,,,,,,
accusation,noun,bewraying (cf. Eng. bewrayment),-,-,,,,,,,,,,,,,,,,,,,,,,,,,
accusative (case),adj,-,"wrayingly (<OE wregendlic)\nend-case (Barnes)\ntholfall (cf. Ic. þolfall)\nwhonefall (<OE hwone, the accusative of ""hwæt"", refer to German ""wen"" and ""Wenfall"")",wrayingly ,<OE wregendlic)\nend-case ,Barnes)\ntholfall ,cf. Ic. þolfall)\nwhonefall ,<OE hwone," the accusative of ""hwæt"""," refer to German ""wen"" and ""Wenfall"")",,,,,,,,,,,,,,,,,,,
accuse,vb,"wray, guilt","atwite\nfromtyghtle (<OE frumtyhtle,originally meaning first accusation)\nfalsely:forwray (<OE forwregan)",atwite\nfromtyghtle ,<OE frumtyhtle,originally meaning first accusation)\nfalsely:forwray ,<OE forwregan),,,,,,,,,,,,,,,,,,,,,,
